 sec,ms,loss,acc,val_loss,val_acc
 763,977,17.9342,0.0117,17.9095,0.0031
 738,945,17.9099,0.0127,17.8987,0.0000e+00
 726,930,17.5612,0.0423,15.8321,0.1806
 727,931,14.6697,0.2287,12.2477,0.4033
 724,927,12.4080,0.3043,10.4938,0.3835
 723,926,11.2631,0.3104,9.6369,0.3520
 721,924,10.5879,0.3066,9.0925,0.3328
 722,925,10.0982,0.3029,8.7215,0.3429
 722,925,9.7067,0.3036,8.4225,0.2922
 722,924,9.4113,0.3003,8.1694,0.3216
 722,924,9.1495,0.2998,7.9822,0.2500
 721,923,8.9221,0.2946,7.7877,0.3077
 721,923,8.7292,0.2928,7.6285,0.2778
 719,921,8.5499,0.2934,7.4877,0.2719
 719,920,8.3883,0.2895,7.3542,0.2650
 719,921,8.2581,0.2891,7.2607,0.2692
 721,923,8.1197,0.2879,7.1379,0.2823
 719,920,8.0024,0.2858,7.0531,0.2559
 719,920,7.8918,0.2860,6.9781,0.2527
 719,921,7.7868,0.2834,6.9174,0.2463
 719,921,7.6883,0.2822,6.8402,0.2436
 718,920,7.6087,0.2800,6.7663,0.2441
 719,920,7.5251,0.2799,6.6931,0.2313
 718,920,7.4482,0.2777,6.6182,0.2564
 718,919,7.3738,0.2759,6.5916,0.2190
 719,920,7.3008,0.2749,6.5475,0.2131
 719,920,7.2397,0.2742,6.4948,0.2228
 719,920,7.1815,0.2700,6.4481,0.2110
 717,918,7.1312,0.2717,6.4035,0.2153
 716,917,7.0680,0.2687,6.3994,0.1918
 716,917,7.0176,0.2675,6.3265,0.1944
 716,917,6.9742,0.2663,6.2991,0.1838
 715,916,6.9270,0.2636,6.2877,0.1797
 716,916,6.8827,0.2628,6.2465,0.1768
 716,917,6.8375,0.2636,6.2253,0.1624
 715,915,6.8030,0.2599,6.1921,0.1768
 714,914,6.7738,0.2577,6.1749,0.1774
 714,914,6.7383,0.2582,6.1536,0.1474
 715,916,6.7022,0.2559,6.1377,0.1752
 713,913,6.6704,0.2561,6.1041,0.1709
 716,917,6.6472,0.2543,6.0924,0.1571
 716,916,6.6193,0.2551,6.0947,0.1554
 717,918,6.5943,0.2516,6.0570,0.1426
 718,919,6.5651,0.2505,6.0430,0.1549
 719,920,6.5488,0.2498,6.0351,0.1587
 802,1,6.5238,0.2473,6.0101,0.1725
 798,1,6.5009,0.2477,5.9985,0.1592
 802,1,6.4812,0.2454,5.9865,0.1448
 803,1,6.4632,0.2460,5.9734,0.1604
 804,1,6.4442,0.2462,5.9682,0.1255
 805,1,6.4237,0.2435,5.9594,0.1442
 803,1,6.4064,0.2418,5.9491,0.1373
 807,1,6.3963,0.2415,5.9329,0.1619
 808,1,6.3787,0.2394,5.9244,0.1485
 807,1,6.3642,0.2401,5.9243,0.1287
 810,1,6.3469,0.2395,5.9134,0.1496
 801,1,6.3378,0.2366,5.9072,0.1405
 798,1,6.3252,0.2362,5.9065,0.1533
 802,1,6.3121,0.2390,5.8931,0.1325
 803,1,6.3014,0.2384,5.8857,0.1448
 804,1,6.2872,0.2361,5.8811,0.1400
 804,1,6.2807,0.2353,5.8758,0.1432
 806,1,6.2668,0.2329,5.8720,0.1565
 797,1,6.2597,0.2328,5.8589,0.1485
 803,1,6.2472,0.2330,5.8564,0.1562
 804,1,6.2436,0.2324,5.8520,0.1335
 802,1,6.2296,0.2324,5.8437,0.1357
 804,1,6.2215,0.2311,5.8442,0.1400
 802,1,6.2131,0.2337,5.8378,0.1432
 799,1,6.2054,0.2300,5.8252,0.1330
 803,1,6.1961,0.2308,5.8240,0.1362
 799,1,6.1928,0.2309,5.8221,0.1480
 801,1,6.1796,0.2302,5.8167,0.1432
 800,1,6.1776,0.2291,5.8220,0.1314
 800,1,6.1737,0.2284,5.8172,0.1832
 802,1,6.1611,0.2305,5.8073,0.1474
 803,1,6.1577,0.2295,5.8084,0.1656
 801,1,6.1521,0.2286,5.8055,0.1581
 800,1,6.1404,0.2294,5.7944,0.1624
 800,1,6.1368,0.2276,5.7917,0.1469
 803,1,6.1349,0.2274,5.7983,0.1318
 803,1,6.1301,0.2252,5.7897,0.1453
 800,1,6.1202,0.2262,5.7895,0.1603
 801,1,6.1176,0.2265,5.7886,0.1368
 802,1,6.1119,0.2251,5.7764,0.1533
 799,1,6.1052,0.2246,5.7779,0.1490
 803,1,6.1056,0.2247,5.7778,0.1389
 799,1,6.0964,0.2240,5.7726,0.1581
 800,1,6.0921,0.2256,5.7740,0.1490
 801,1,6.0915,0.2249,5.7720,0.1373
 800,1,6.0905,0.2240,5.7716,0.1421
 797,1,6.0813,0.2239,5.7608,0.1330
 714,915,6.0779,0.2223,5.7628,0.1549
 712,912,6.0734,0.2227,5.7656,0.1197
 712,911,6.0699,0.2218,5.7590,0.1506
 714,914,6.0646,0.2232,5.7526,0.1672
 713,913,6.0617,0.2219,5.7585,0.1698
 713,913,6.0584,0.2233,5.7602,0.1432
 712,912,6.0556,0.2225,5.7540,0.1549
 714,914,6.0507,0.2200,5.7570,0.1485
 712,912,6.0501,0.2221,5.7473,0.1405
 714,914,6.0443,0.2227,5.7445,0.1656
 715,915,6.0407,0.2217,5.7491,0.1378
 718,920,6.0414,0.2227,5.7458,0.1437
 722,924,6.0373,0.2219,5.7436,0.1624
 722,924,6.0360,0.2225,5.7497,0.1549
 723,926,6.0335,0.2234,5.7465,0.1458
