sec,ms,loss,acc,val_loss,val_acc
552,28, 1.6792, 0.1999, 1.6096, 0.1982
551,28, 1.6097, 0.1993, 1.6098, 0.1938
557,28, 1.6098, 0.2014, 1.6098, 0.1938
549,27, 1.6101, 0.1944, 1.6097, 0.1938
552,28, 1.6100, 0.2006, 1.6101, 0.1938
554,28, 1.6098, 0.2069, 1.6095, 0.2008
551,28, 1.6101, 0.2016, 1.6096, 0.2028
544,27, 1.6102, 0.1973, 1.6099, 0.1938
550,28, 1.3927, 0.3508, 1.7022, 0.2110
550,28, 0.9731, 0.5532, 1.2278, 0.4014
550,27, 0.7967, 0.6361, 0.9936, 0.4894
550,28, 0.6720, 0.6939, 0.8952, 0.5234
551,28, 0.6076, 0.7253, 0.8134, 0.5938
546,27, 0.5266, 0.7663, 0.6627, 0.6716
557,28, 0.4761, 0.7919, 0.5236, 0.7546
554,28, 0.4362, 0.8077, 0.3125, 0.8784
551,28, 0.4124, 0.8232, 0.4530, 0.7740
553,28, 0.3785, 0.8380, 0.3724, 0.8216
562,28, 0.3521, 0.8509, 0.2705, 0.8812
558,28, 0.3375, 0.8567, 0.2817, 0.8706
555,28, 0.3134, 0.8710, 0.2414, 0.8898
553,28, 0.2993, 0.8740, 0.3020, 0.8542
555,28, 0.2830, 0.8823, 0.1934, 0.9282
556,28, 0.2796, 0.8821, 0.2125, 0.9070
556,28, 0.2550, 0.8944, 0.2028, 0.9084
555,28, 0.2403, 0.9022, 0.1910, 0.9140
560,28, 0.2311, 0.9051, 0.1389, 0.9540
560,28, 0.2213, 0.9116, 0.1338, 0.9546
561,28, 0.2127, 0.9116, 0.1454, 0.9444
555,28, 0.2024, 0.9186, 0.1434, 0.9444
553,28, 0.1992, 0.9190, 0.2424, 0.8844
555,28, 0.1931, 0.9220, 0.1090, 0.9622
553,28, 0.1811, 0.9278, 0.1180, 0.9532
552,28, 0.1662, 0.9330, 0.0968, 0.9676
553,28, 0.1631, 0.9349, 0.1678, 0.9276
558,28, 0.1632, 0.9359, 0.1330, 0.9462
554,28, 0.1584, 0.9357, 0.1144, 0.9552
552,28, 0.1583, 0.9387, 0.1143, 0.9566
552,28, 0.1442, 0.9432, 0.1027, 0.9606
550,27, 0.1478, 0.9410, 0.1380, 0.9442
552,28, 0.1456, 0.9434, 0.0931, 0.9638
553,28, 0.1283, 0.9502, 0.0829, 0.9730
553,28, 0.1337, 0.9490, 0.0773, 0.9740
554,28, 0.1233, 0.9529, 0.1366, 0.9436
551,28, 0.1196, 0.9532, 0.0917, 0.9648
549,27, 0.1140, 0.9566, 0.0880, 0.9666
553,28, 0.1212, 0.9540, 0.0843, 0.9678
556,28, 0.1154, 0.9546, 0.0646, 0.9776
558,28, 0.1054, 0.9592, 0.0645, 0.9784
555,28, 0.1068, 0.9601, 0.0733, 0.9748
556,28, 0.1341, 0.9482, 0.0845, 0.9664
555,28, 0.1023, 0.9597, 0.0597, 0.9796
554,28, 0.0950, 0.9627, 0.0627, 0.9756
551,28, 0.0914, 0.9649, 0.0660, 0.9746
553,28, 0.0899, 0.9661, 0.0699, 0.9732
551,28, 0.0876, 0.9672, 0.0641, 0.9766
547,27, 0.0831, 0.9689, 0.0624, 0.9778
550,28, 0.0866, 0.9672, 0.0538, 0.9820
553,28, 0.0867, 0.9669, 0.0913, 0.9626
551,28, 0.0798, 0.9704, 0.0545, 0.9802
558,28, 0.0812, 0.9687, 0.0670, 0.9740
555,28, 0.0824, 0.9691, 0.0619, 0.9786
553,28, 0.0731, 0.9733, 0.0653, 0.9764
550,28, 0.0717, 0.9745, 0.0522, 0.9810
